64482 DEBUG [2019-06-26 09:12:27]  Looking up handler method for path /lib/layui/lay/modules/layer.js
64482 DEBUG [2019-06-26 09:12:27]  Did not find handler method for [/lib/layui/lay/modules/layer.js]
64482 DEBUG [2019-06-26 09:12:27]  Matching patterns for request [/lib/layui/lay/modules/layer.js] are [/**]
64483 DEBUG [2019-06-26 09:12:27]  URI Template variables for request [/lib/layui/lay/modules/layer.js] are {}
64483 DEBUG [2019-06-26 09:12:27]  Mapping [/lib/layui/lay/modules/layer.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
64483 DEBUG [2019-06-26 09:12:27]  Last-Modified value for [/lib/layui/lay/modules/layer.js] is: -1
64652 DEBUG [2019-06-26 09:12:27]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@380442b1
64652 DEBUG [2019-06-26 09:12:27]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/lay/modules/laytpl.js]
64652 DEBUG [2019-06-26 09:12:27]  Looking up handler method for path /lib/layui/lay/modules/laytpl.js
64652 DEBUG [2019-06-26 09:12:27]  Did not find handler method for [/lib/layui/lay/modules/laytpl.js]
64653 DEBUG [2019-06-26 09:12:27]  Matching patterns for request [/lib/layui/lay/modules/laytpl.js] are [/**]
64653 DEBUG [2019-06-26 09:12:27]  URI Template variables for request [/lib/layui/lay/modules/laytpl.js] are {}
64653 DEBUG [2019-06-26 09:12:27]  Mapping [/lib/layui/lay/modules/laytpl.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
64653 DEBUG [2019-06-26 09:12:27]  Last-Modified value for [/lib/layui/lay/modules/laytpl.js] is: -1
64846 DEBUG [2019-06-26 09:12:27]  Skip CORS processing: request is from same origin
64890 DEBUG [2019-06-26 09:12:27]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
64890 DEBUG [2019-06-26 09:12:27]  Successfully completed request
64890 DEBUG [2019-06-26 09:12:27]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@380442b1
65022 DEBUG [2019-06-26 09:12:27]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@380442b1
65023 DEBUG [2019-06-26 09:12:27]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/lay/modules/laypage.js]
65023 DEBUG [2019-06-26 09:12:27]  Looking up handler method for path /lib/layui/lay/modules/laypage.js
65025 DEBUG [2019-06-26 09:12:27]  Did not find handler method for [/lib/layui/lay/modules/laypage.js]
65025 DEBUG [2019-06-26 09:12:27]  Matching patterns for request [/lib/layui/lay/modules/laypage.js] are [/**]
65025 DEBUG [2019-06-26 09:12:27]  URI Template variables for request [/lib/layui/lay/modules/laypage.js] are {}
